Year;Country;Region;Energy type;Energy consumption (KWh);Energy consumption (MWh);Energy consumption (TWh);Sector;;
2021;France;Auvergne-Rhône-Alpes;Electricity;136363;136;0.000136363;Services;;
2021;France;Auvergne-Rhône-Alpes;Electricity;189231;189;0.000189231;Services;;
2021;France;Auvergne-Rhône-Alpes;Electricity;362923;363;0.000362923;Agriculture;;
2021;France;Occitanie;Electricity;308000;308;0.000308;Agriculture;;
2021;France;Occitanie;Electricity;245000;245;0.000245;Industry;;
2021;France;Occitanie;Electricity;294000;294;0.000294;Services;;
2021;France;Occitanie;Electricity;1954000;1954;0.001954;Services;;
2021;France;Occitanie;Electricity;177000;177;0.000177;Services;;
2021;France;Occitanie;Electricity;14294000;14294;0.014294;Households;;
2021;France;Grand Est;Electricity;22325584;22326;0.022325584;Industry;;
2021;France;Grand Est;Electricity;3589994;3590;0.003589994;Industry;;
2021;France;Grand Est;Electricity;34198735;34199;0.034198735;Industry;;
2021;France;Grand Est;Electricity;49549;50;4.9549E-5;Industry;;
2021;France;Grand Est;Electricity;1167033;1167;0.001167033;Services;;
2021;France;Grand Est;Electricity;20862378;20862;0.020862378;Services;;
2021;France;Grand Est;Electricity;1763015;1763;0.001763015;Services;;
2021;France;Grand Est;Electricity;769635;770;0.000769635;Services;;
2021;France;Grand Est;Electricity;747137;747;0.000747137;Services;;
2021;France;Grand Est;Electricity;38389;38;3.8389E-5;Services;;
2021;France;Grand Est;Electricity;129178;129;0.000129178;Services;;
2021;France;Grand Est;Electricity;62423;62;6.2423E-5;Services;;
2021;France;Grand Est;Electricity;23646412;23646;0.023646412;Services;;
2021;France;Grand Est;Electricity;3016600;3017;0.0030166;Services;;
2021;France;Grand Est;Electricity;132194262;132194;0.132194262;Services;;
2021;France;Île-de-France;Electricity;66396208;66396;0.066396208;Industry;;
2021;France;Centre-Val de Loire;Electricity;44621841;44622;0.044621841;Industry;;
2021;France;Bourgogne-Franche-Comté;Electricity;47764126;47764;0.047764126;Industry;;
2021;France;Bourgogne-Franche-Comté;Electricity;706921927;706922;0.706921927;Services;;
2021;France;Normandie;Electricity;328137000;328137;0.328137;Industry;;
2021;France;Hauts-de-France;Electricity;76873570;76874;0.07687357;Industry;;
2021;France;Grand Est;Electricity;15686848;15687;0.015686848;Industry;;
2021;France;Grand Est;Electricity;10153759;10154;0.010153759;Services;;
2021;France;Pays de la Loire;Electricity;54648179;54648;0.054648179;Industry;;
2021;France;Bretagne;Electricity;75904752;75905;0.075904752;Industry;;
2021;France;Bretagne;Electricity;30778699;30779;0.030778699;Services;;
2021;France;Nouvelle-Aquitaine;Electricity;516919872;516920;0.516919872;Industry;;
2021;France;Nouvelle-Aquitaine;Electricity;26249541;26250;0.026249541;Industry;;
2021;France;Nouvelle-Aquitaine;Electricity;19897694;19898;0.019897694;Industry;;
2021;France;Occitanie;Electricity;369571543;369572;0.369571543;Industry;;
2021;France;Occitanie;Electricity;4009277;4009;0.004009277;Industry;;
2021;France;Occitanie;Electricity;30918196;30918;0.030918196;Services;;
2021;France;Auvergne-Rhône-Alpes;Electricity;434003892;434004;0.434003892;Industry;;
2021;France;Auvergne-Rhône-Alpes;Electricity;12273373;12273;0.012273373;Industry;;
2021;France;Auvergne-Rhône-Alpes;Electricity;28735029;28735;0.028735029;Services;;
2021;France;Auvergne-Rhône-Alpes;Electricity;4419210;4419;0.00441921;Services;;
2021;France;Provence-Alpes-Côte d'Azur;Electricity;3338216472;3338216;3.338216472;Industry;;
2021;France;Provence-Alpes-Côte d'Azur;Electricity;84789588;84790;0.084789588;Industry;;
2021;France;Provence-Alpes-Côte d'Azur;Electricity;7752902;7753;0.007752902;Services;;
2021;France;Provence-Alpes-Côte d'Azur;Electricity;123729057;123729;0.123729057;Services;;
2021;France;Grand Est;Electricity;73224;73;7.3224E-5;Services;;
2021;France;Grand Est;Electricity;237196;237;0.000237196;Services;;
2021;France;Grand Est;Electricity;42159;42;4.2159E-5;Services;;
2021;France;Hauts-de-France;Electricity;45000;45;4.5E-5;Services;;
2021;France;Hauts-de-France;Electricity;249000;249;0.000249;Agriculture;;
2021;France;Hauts-de-France;Electricity;26601351;26601;0.026601351;Services;;
2021;France;Hauts-de-France;Electricity;8000;8;8.0E-6;Industry;;
2021;France;Hauts-de-France;Electricity;134000;134;0.000134;Industry;;
2021;France;Hauts-de-France;Electricity;164000;164;0.000164;Services;;
2021;France;Hauts-de-France;Electricity;20000;20;2.0E-5;Services;;
2021;France;Hauts-de-France;Electricity;163854000;163854;0.163854;Households;;
2021;France;Île-de-France;Electricity;474000;474;0.000474;Industry;;
2021;France;Île-de-France;Electricity;54000;54;5.4E-5;Industry;;
2021;France;Île-de-France;Electricity;321000;321;0.000321;Services;;
2021;France;Île-de-France;Electricity;270000;270;0.00027;Services;;
2021;France;Île-de-France;Electricity;687000;687;0.000687;Industry;;
2021;France;Île-de-France;Electricity;3984000;3984;0.003984;Services;;
2021;France;Grand Est;Electricity;6876348;6876;0.006876348;Agriculture;;
2021;France;Grand Est;Electricity;954112;954;0.000954112;Industry;;
2021;France;Grand Est;Electricity;103776;104;0.000103776;Industry;;
2021;France;Grand Est;Electricity;396610;397;0.00039661;Industry;;
2021;France;Grand Est;Electricity;105786;106;0.000105786;Services;;
2021;France;Grand Est;Electricity;78966;79;7.8966E-5;Services;;
2021;France;Grand Est;Electricity;49081;49;4.9081E-5;Services;;
2021;France;Grand Est;Electricity;365639;366;0.000365639;Industry;;
2021;France;Grand Est;Electricity;30643498;30643;0.030643498;Households;;
2021;France;Île-de-France;Electricity;65115795;65116;0.065115795;Industry;;
2021;France;Île-de-France;Electricity;18557134;18557;0.018557134;Services;;
2021;France;Occitanie;Electricity;306732;307;0.000306732;Industry;;
2021;France;Centre-Val de Loire;Electricity;10888699;10889;0.010888699;Industry;;
2021;France;Bourgogne-Franche-Comté;Electricity;1213070;1213;0.00121307;Industry;;
2021;France;Bourgogne-Franche-Comté;Electricity;83484;83;8.3484E-5;Industry;;
2021;France;Bourgogne-Franche-Comté;Electricity;308307;308;0.000308307;Industry;;
2021;France;Bourgogne-Franche-Comté;Electricity;898857;899;0.000898857;Services;;
2021;France;Bourgogne-Franche-Comté;Electricity;1015257;1015;0.001015257;Services;;
2021;France;Bourgogne-Franche-Comté;Electricity;107440;107;0.00010744;Services;;
2021;France;Grand Est;Electricity;698114;698;0.000698114;Agriculture;;
2021;France;Grand Est;Electricity;89890;90;8.989E-5;Industry;;
2021;France;Grand Est;Electricity;111261;111;0.000111261;Services;;
2021;France;Hauts-de-France;Electricity;5284310;5284;0.00528431;Agriculture;;
2021;France;Hauts-de-France;Electricity;505530;506;0.00050553;Industry;;
2021;France;Hauts-de-France;Electricity;11071964;11072;0.011071964;Industry;;
2021;France;Hauts-de-France;Electricity;7840654;7841;0.007840654;Industry;;
2021;France;Hauts-de-France;Electricity;1234328;1234;0.001234328;Services;;
2021;France;Hauts-de-France;Electricity;5609586;5610;0.005609586;Services;;
2021;France;Hauts-de-France;Electricity;3514294;3514;0.003514294;Services;;
2021;France;Hauts-de-France;Electricity;26140710;26141;0.02614071;Services;;
2021;France;Hauts-de-France;Electricity;36972;37;3.6972E-5;Services;;
2021;France;Hauts-de-France;Electricity;81971;82;8.1971E-5;Services;;
2021;France;Hauts-de-France;Electricity;7094353;7094;0.007094353;Services;;
2021;France;Hauts-de-France;Electricity;5764028;5764;0.005764028;Agriculture;;
2021;France;Hauts-de-France;Electricity;467973972;467974;0.467973972;Households;;
2021;France;Centre-Val de Loire;Electricity;221000;221;0.000221;Services;;
2021;France;Centre-Val de Loire;Electricity;1837000;1837;0.001837;Industry;;
2021;France;Centre-Val de Loire;Electricity;16980000;16980;0.01698;Services;;
2021;France;Auvergne-Rhône-Alpes;Electricity;323335;323;0.000323335;Industry;;
2021;France;Auvergne-Rhône-Alpes;Electricity;102680;103;0.00010268;Services;;
2021;France;Auvergne-Rhône-Alpes;Electricity;312325;312;0.000312325;Industry;;
2021;France;Auvergne-Rhône-Alpes;Electricity;45662823;45663;0.045662823;Households;;
2021;France;Centre-Val de Loire;Electricity;148000;148;0.000148;Households;;
2021;France;Nouvelle-Aquitaine;Electricity;1711000;1711;0.001711;Industry;;
2021;France;Nouvelle-Aquitaine;Electricity;369000;369;0.000369;Industry;;
2021;France;Nouvelle-Aquitaine;Electricity;1204000;1204;0.001204;Industry;;
2021;France;Nouvelle-Aquitaine;Electricity;3419000;3419;0.003419;Services;;
2021;France;Nouvelle-Aquitaine;Electricity;39000;39;3.9E-5;Services;;
2021;France;Nouvelle-Aquitaine;Electricity;929000;929;0.000929;Services;;
2021;France;Nouvelle-Aquitaine;Electricity;3288000;3288;0.003288;Services;;
2021;France;Nouvelle-Aquitaine;Electricity;691000;691;0.000691;Services;;
2021;France;Nouvelle-Aquitaine;Electricity;69000;69;6.9E-5;Services;;
2021;France;Grand Est;Electricity;653893000;653893;0.653893;Industry;;
2021;France;Grand Est;Electricity;31110000;31110;0.03111;Industry;;
2021;France;Grand Est;Electricity;68201000;68201;0.068201;Industry;;
2021;France;Grand Est;Electricity;22364000;22364;0.022364;Industry;;
2021;France;Grand Est;Electricity;38044000;38044;0.038044;Industry;;
2021;France;Grand Est;Electricity;134028000;134028;0.134028;Industry;;
2021;France;Grand Est;Electricity;13131000;13131;0.013131;Industry;;
2021;France;Grand Est;Electricity;19984000;19984;0.019984;Industry;;
2021;France;Grand Est;Electricity;22784000;22784;0.022784;Industry;;
2021;France;Grand Est;Electricity;1217000;1217;0.001217;Services;;
2021;France;Grand Est;Electricity;4674000;4674;0.004674;Services;;
2021;France;Grand Est;Electricity;4638000;4638;0.004638;Services;;
2021;France;Grand Est;Electricity;25359000;25359;0.025359;Services;;
2021;France;Grand Est;Electricity;28239000;28239;0.028239;Services;;
2021;France;Grand Est;Electricity;21793000;21793;0.021793;Services;;
2021;France;Grand Est;Electricity;2212000;2212;0.002212;Services;;
2021;France;Grand Est;Electricity;17888000;17888;0.017888;Services;;
2021;France;Grand Est;Electricity;3081000;3081;0.003081;Services;;
2021;France;Grand Est;Electricity;64260000;64260;0.06426;Services;;
2021;France;Auvergne-Rhône-Alpes;Electricity;76000;76;7.6E-5;Services;;
2021;France;Auvergne-Rhône-Alpes;Electricity;3453000;3453;0.003453;Services;;
2021;France;Auvergne-Rhône-Alpes;Electricity;30000;30;3.0E-5;Industry;;
2021;France;Auvergne-Rhône-Alpes;Electricity;27000;27;2.7E-5;Services;;
2021;France;Auvergne-Rhône-Alpes;Electricity;1112000;1112;0.001112;Services;;
2021;France;Auvergne-Rhône-Alpes;Electricity;1113000;1113;0.001113;Industry;;
2021;France;Bourgogne-Franche-Comté;Electricity;731331;731;0.000731331;Industry;;
2021;France;Bourgogne-Franche-Comté;Electricity;345896;346;0.000345896;Industry;;
2021;France;Bourgogne-Franche-Comté;Electricity;650471;650;0.000650471;Services;;
2021;France;Bourgogne-Franche-Comté;Electricity;2490525;2491;0.002490525;Services;;
2021;France;Bourgogne-Franche-Comté;Electricity;27656323;27656;0.027656323;Households;;
2021;France;Centre-Val de Loire;Electricity;3798709;3799;0.003798709;Agriculture;;
2021;France;Grand Est;Electricity;5995299;5995;0.005995299;Services;;
2021;France;Grand Est;Electricity;2586568;2587;0.002586568;Industry;;
2021;France;Grand Est;Electricity;1106590;1107;0.00110659;Industry;;
2021;France;Grand Est;Electricity;405537;406;0.000405537;Services;;
2021;France;Grand Est;Electricity;6955409;6955;0.006955409;Services;;
2021;France;Grand Est;Electricity;3762299;3762;0.003762299;Services;;
2021;France;Grand Est;Electricity;2364688;2365;0.002364688;Services;;
2021;France;Grand Est;Electricity;742510;743;0.00074251;Services;;
2021;France;Grand Est;Electricity;693291;693;0.000693291;Services;;
2021;France;Grand Est;Gas;1322000;1322;0.001322;Industry;;
2021;France;Grand Est;Gas;1065000;1065;0.001065;Industry;;
2021;France;Grand Est;Gas;419000;419;0.000419;Industry;;
2021;France;Grand Est;Gas;5671000;5671;0.005671;Industry;;
2021;France;Grand Est;Gas;1896000;1896;0.001896;Services;;
2021;France;Grand Est;Gas;3432000;3432;0.003432;Services;;
2021;France;Auvergne-Rhône-Alpes;Gas;565578;566;0.000565578;Industry;;
2021;France;Occitanie;Gas;30245000;30245;0.030245;Households;;
2021;France;Nouvelle-Aquitaine;Gas;14520153;14520;0.014520153;Services;;
2021;France;Hauts-de-France;Gas;23539121;23539;0.023539121;Households;;
2021;France;Île-de-France;Gas;352079347.3;352079;0.3520793473;Industry;;
2021;France;Île-de-France;Gas;53520187.54;53520;0.05352018754;Industry;;
2021;France;Île-de-France;Gas;114303822;114304;0.114303822;Industry;;
2021;France;Île-de-France;Gas;148971629.4;148972;0.1489716294;Services;;
2021;France;Île-de-France;Gas;23463613.01;23464;0.02346361301;Services;;
2021;France;Île-de-France;Gas;119553559.7;119554;0.1195535597;Services;;
2021;France;Île-de-France;Gas;17922927.42;17923;0.01792292742;Services;;
2021;France;Île-de-France;Gas;3816491869;3816492;3.816491869;Services;;
2021;France;Île-de-France;Gas;99941634.97;99942;0.09994163497;Services;;
2021;France;Île-de-France;Gas;129665160.5;129665;0.1296651605;Services;;
2021;France;Île-de-France;Gas;552053206;552053;0.552053206;Services;;
2021;France;Centre-Val de Loire;Gas;21716551.48;21717;0.02171655148;Industry;;
2021;France;Centre-Val de Loire;Gas;10536275.99;10536;0.01053627599;Services;;
2021;France;Centre-Val de Loire;Gas;2178153.93;2178;0.00217815393;Services;;
2021;France;Centre-Val de Loire;Gas;10229629.15;10230;0.01022962915;Services;;
2021;France;Centre-Val de Loire;Gas;5401355157;5401355;5.401355157;Households;;
2021;France;Bourgogne-Franche-Comté;Gas;17293357.51;17293;0.01729335751;Industry;;
2021;France;Bourgogne-Franche-Comté;Gas;8767255;8767;0.008767255;Industry;;
2021;France;Bourgogne-Franche-Comté;Gas;315096011.2;315096;0.3150960112;Industry;;
2021;France;Bourgogne-Franche-Comté;Gas;14674515.27;14675;0.01467451527;Industry;;
2021;France;Bourgogne-Franche-Comté;Gas;5594065.27;5594;0.00559406527;Industry;;
2021;France;Bourgogne-Franche-Comté;Gas;17109770.16;17110;0.01710977016;Services;;
2021;France;Bourgogne-Franche-Comté;Gas;1005632.56;1006;0.00100563256;Services;;
2021;France;Bourgogne-Franche-Comté;Gas;222566.67;223;0.00022256667;Services;;
2021;France;Bourgogne-Franche-Comté;Gas;16770852.83;16771;0.01677085283;Services;;
2021;France;Bourgogne-Franche-Comté;Gas;20195089.14;20195;0.02019508914;Services;;
2021;France;Normandie;Gas;1271260085;1271260;1.271260085;Industry;;
2021;France;Normandie;Gas;2566238.2;2566;0.0025662382;Industry;;
2021;France;Normandie;Gas;20595434.56;20595;0.02059543456;Industry;;
2021;France;Normandie;Gas;4772662.71;4773;0.00477266271;Services;;
2021;France;Normandie;Gas;364302.2;364;0.0003643022;Services;;
2021;France;Normandie;Gas;2920395.52;2920;0.00292039552;Services;;
2021;France;Normandie;Gas;14585993.47;14586;0.01458599347;Services;;
